id,total_rent,living_space,rooms,age,floor,zipcode,city,district,has_balcony,has_kitchen,has_cellar,has_elevator,needs_wbs
102921792,939.0,39.0,1.0,56,1,10625,Berlin,Charlottenburg (Charlottenburg),True,True,False,True,False
102948295,1182.0,90.19,3.0,21,1,13055,Berlin,Alt-Hohenschönhausen (Hohenschönhausen),True,True,True,True,False
102949218,2380.5,111.17,2.0,7,1,10785,Berlin,Tiergarten (Tiergarten),True,True,False,False,False
102949405,1950.0,100.0,3.0,118,2,10785,Berlin,Tiergarten (Tiergarten),True,True,True,False,False
102952259,1050.0,85.96,3.0,21,2,12559,Berlin,Köpenick (Köpenick),True,True,True,True,False
102961548,3970.0,230.0,5.0,118,3,14193,Berlin,None,True,True,True,False,False
102962830,1858.62,86.36,2.0,20,3,10785,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
102962833,2069.72,93.27,3.0,20,6,10785,Berlin,Tiergarten (Tiergarten),False,True,True,True,False
102962834,2401.93,111.54,3.0,20,8,10785,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
102978238,1271.87,80.12,2.0,26,1,10719,Berlin,Charlottenburg (Charlottenburg),True,True,False,True,False
102979358,1515.0,133.0,4.0,13,None,13585,Berlin,Spandau (Spandau),True,False,False,False,False
102983564,1841.0,86.36,2.0,20,3,10785,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
102983567,2103.0,93.8,3.0,20,5,10785,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
102983593,1825.71,83.49,2.0,20,8,10785,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
102983598,2023.08,93.27,3.0,20,7,10785,Berlin,Tiergarten (Tiergarten),False,True,True,True,False
102983600,1809.0,83.58,2.0,20,8,10785,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
102992542,3050.0,155.0,4.0,20,1,14109,Berlin,None,True,True,False,False,False
103000866,1390.0,60.0,2.0,None,None,10119,Berlin,Mitte - Prenzlauer Berg, Prenzlauer Berg (Prenzlauer Berg),True,False,False,False,False
103026201,630.0,60.0,2.0,29,3,12629,Berlin,Hellersdorf (Hellersdorf),False,False,True,True,False
103028430,None,None,None,None,None,None,None,None,False,False,False,False,False
103028484,759.24,68.4,3.0,29,5,12629,Berlin,Hellersdorf (Hellersdorf),True,False,True,True,False
103057062,4157.5,245.0,4.5,118,5,10961,Berlin,Kreuzberg (Kreuzberg),True,False,False,True,False
103058081,1695.0,99.35,3.0,1,3,13086,Berlin,Weißensee (Weißensee),False,True,True,True,False
103075453,4117.0,207.0,5.0,118,1,10439,Berlin,Wilmersdorf (Wilmersdorf),True,True,True,True,False
103103920,679.32,61.2,2.0,29,2,12629,Berlin,Hellersdorf (Hellersdorf),True,False,True,True,False
103104420,718.2,68.4,3.0,29,6,12629,Berlin,Hellersdorf (Hellersdorf),True,False,True,True,False
103105051,600.51,54.1,2.0,29,5,12629,Berlin,Hellersdorf (Hellersdorf),True,False,True,True,False
103105149,1988.2,107.47,2.0,None,4,14059,Berlin,None,True,True,True,True,False
103106347,1325.0,90.0,2.0,113,0,13469,Berlin,Waidmannslust (Reinickendorf),True,True,False,False,False
103110941,455.16,37.93,1.0,28,7,12629,Berlin,Hellersdorf (Hellersdorf),True,False,False,True,False
103112230,780.0,51.5,2.0,108,3,12059,Berlin,None,False,False,True,False,False
103119050,667.8,31.16,1.0,49,5,13347,Berlin,Wedding (Wedding),True,False,False,True,False
103129632,1162.55,75.49,3.0,1,3,12489,Berlin,Adlershof (Treptow),True,False,True,False,False
103129633,1394.02,94.19,4.0,1,3,12489,Berlin,Adlershof (Treptow),True,False,True,False,False
103129890,784.58,71.98,3.0,29,4,12629,Berlin,Hellersdorf (Hellersdorf),True,False,True,False,False
103130546,1060.18,70.21,3.0,1,3,12489,Berlin,Adlershof (Treptow),True,False,True,False,False
103131876,1990.0,100.0,3.0,1,5,10245,Berlin,Friedrichshain (Friedrichshain),True,False,True,True,False
103140645,1292.0,67.02,3.0,128,1,12099,Berlin,Tempelhof (Tempelhof),False,False,False,False,False
103140646,1408.0,73.12,3.0,128,1,12099,Berlin,Tempelhof (Tempelhof),False,False,False,False,False
103148598,909.0,42.4,1.0,None,2,10317,Berlin,Lichtenberg (Lichtenberg),False,False,False,False,False
103148701,2055.0,91.05,3.0,None,1,10317,Berlin,Lichtenberg (Lichtenberg),True,False,False,False,False
103149300,1233.0,62.7,2.0,None,2,10317,Berlin,Lichtenberg (Lichtenberg),True,False,False,False,False
103154723,2187.5,105.0,2.0,19,3,10117,Berlin,Mitte (Mitte),True,True,True,False,False
103165449,1820.0,89.0,3.0,3,3,10249,Berlin,Friedrichshain (Friedrichshain),True,True,True,True,False
103177206,1832.5,117.0,2.0,88,None,14052,Berlin,None,True,True,False,True,False
103178221,1658.0,115.0,3.0,147,2,10117,Berlin,Mitte (Mitte),True,True,True,False,False
103178845,1200.0,83.01,2.0,110,2,13349,Berlin,Wedding (Wedding),False,True,False,False,False
103179009,1433.43,89.11,2.5,113,5,10245,Berlin,Friedrichshain (Friedrichshain),True,False,False,True,False
103188296,737.0,56.49,2.0,112,None,10318,Berlin,Karlshorst (Lichtenberg),False,False,False,False,False
103198580,1249.5,119.0,3.0,26,2,12355,Berlin,None,True,True,True,False,False
103203870,947.31,61.66,2.0,82,1,12099,Berlin,Tempelhof (Tempelhof),True,False,False,False,False
103204117,2900.0,140.0,3.0,0,6,10589,Berlin,None,True,True,True,True,False
103204294,2750.0,140.0,3.0,0,7,10589,Berlin,None,True,True,True,True,False
103210973,2625.0,125.0,4.0,23,7,10117,Berlin,Mitte (Mitte),False,False,True,True,False
103224783,1537.0,114.0,4.0,None,None,10405,Berlin,Prenzlauer Berg (Prenzlauer Berg),True,False,True,False,False
103239961,1399.0,48.0,1.5,4,6,10117,Berlin,Mitte (Mitte),True,True,True,True,False
103253362,1100.0,85.27,2.0,34,4,10717,Berlin,Wilmersdorf (Wilmersdorf),True,True,True,True,False
103261769,800.0,55.0,2.0,None,3,13156,Berlin,None,False,False,True,False,False
103261796,806.06,55.59,2.0,None,1,13156,Berlin,None,False,False,True,False,False
103275888,715.95,61.17,2.0,54,5,13589,Berlin,Spandau (Spandau),True,False,True,True,False
103277904,1300.0,90.0,3.0,118,4,13405,Berlin,Reinickendorf (Reinickendorf),False,True,True,False,False
103278020,895.0,71.0,2.0,108,2,13156,Berlin,Niederschönhausen (Pankow),False,True,False,False,False
103279289,3070.0,180.0,4.5,108,2,14163,Berlin,None,True,True,False,False,False
103291607,1781.74,96.31,3.5,None,5,10829,Berlin,Schöneberg (Schöneberg),False,False,False,True,False
103302565,1190.0,36.0,1.0,None,1,10119,Berlin,Mitte - Prenzlauer Berg, Mitte (Mitte),True,True,False,True,False
103303961,1600.0,80.0,2.0,105,4,10707,Berlin,None,False,True,True,False,False
103306059,670.0,50.0,2.0,None,3,10243,Berlin,None,False,False,False,False,False
103307141,793.0,21.0,1.0,4,None,10179,Berlin,Mitte (Mitte),False,True,False,True,False
103322535,2064.0,118.0,4.0,107,3,12043,Berlin,None,False,False,False,False,False
103324686,700.0,65.01,2.0,20,2,12623,Berlin,Mahlsdorf (Hellersdorf),True,False,False,False,False
103326087,750.0,50.0,2.0,82,None,13581,Berlin,None,True,False,True,False,False
103333241,629.0,20.5,1.0,1,2,13355,Berlin,Wedding (Wedding),False,True,True,True,False
103354990,2045.61,105.32,3.0,0,4,10115,Berlin,Mitte (Mitte),True,True,True,True,False
103355112,2034.54,109.57,4.0,0,2,10115,Berlin,None,True,True,True,True,False
103386744,956.84,72.08,2.0,21,0,13055,Berlin,Alt-Hohenschönhausen (Hohenschönhausen),True,True,True,True,False
103388627,1255.0,72.35,3.0,65,2,10243,Berlin,None,False,False,True,True,False
103403707,1318.46,65.27,2.0,118,5,10243,Berlin,Friedrichshain (Friedrichshain),False,False,False,False,False
103403750,1117.53,82.78,2.0,None,None,10245,Berlin,Friedrichshain (Friedrichshain),False,False,False,False,False
103403767,931.37,68.99,2.0,118,None,10245,Berlin,Friedrichshain (Friedrichshain),False,False,False,False,False
103403800,927.2,57.95,2.0,None,None,10249,Berlin,Friedrichshain (Friedrichshain),False,True,False,False,False
103412543,1551.21,98.17,3.0,113,2,10245,Berlin,Friedrichshain (Friedrichshain),True,False,False,True,False
103413109,1500.0,100.0,3.0,None,None,10715,Berlin,Wilmersdorf (Wilmersdorf),False,False,False,False,False
103435474,4849.0,217.57,5.0,0,None,14197,Berlin,Wilmersdorf (Wilmersdorf),True,True,False,True,False
103438904,2900.0,200.0,8.5,118,2,12159,Berlin,None,True,False,False,False,False
103439437,830.0,53.0,2.0,118,3,10557,Berlin,Tiergarten (Tiergarten),False,True,False,False,False
103460110,3625.0,200.0,4.0,108,3,10629,Berlin,None,True,True,True,True,False
103470786,2900.0,161.0,3.0,12,2,10785,Berlin-Tiergarten,Tiergarten (Tiergarten),True,True,True,True,False
103477445,2108.0,163.0,5.0,88,1,13581,Berlin,Spandau (Spandau),True,False,True,False,False
103488781,2375.0,135.58,4.0,1,3,13086,Berlin,Weißensee (Weißensee),False,True,True,True,False
103488826,2145.0,120.8,4.0,1,3,13086,Berlin,Weißensee (Weißensee),False,True,True,True,False
103489031,655.0,21.0,1.0,None,2,13089,Berlin,Heinersdorf (Weißensee),False,True,False,True,False
103502657,3629.66,482.0,3.0,23,4,12621,Berlin,Kaulsdorf (Hellersdorf),False,True,False,False,False
103506340,1283.47,172.32,3.0,115,4,13585,Berlin,Spandau (Spandau),True,False,True,False,False
103507764,1599.0,108.6,3.0,118,2,10249,Berlin,, Friedrichshain (Friedrichshain),True,False,True,False,False
103509722,3250.0,214.3,6.0,138,1,10777,Berlin,Schöneberg (Schöneberg),True,False,True,True,False
103510257,1418.0,94.5,2.5,20,4,12209,berlin,Lichterfelde (Steglitz),True,True,True,True,False
103544544,1490.0,90.0,2.0,None,3,10405,Berlin,Prenzlauer Berg (Prenzlauer Berg),False,False,True,False,False
103550093,1570.0,106.81,4.0,32,0,12355,Berlin,Rudow (Neukölln),True,True,True,False,False
103561648,3520.0,207.0,5.0,118,1,10439,Berlin,Wilmersdorf (Wilmersdorf),True,True,True,True,False
103564812,993.54,59.11,2.0,113,4,10245,Berlin,Friedrichshain (Friedrichshain),True,False,False,True,False
103565153,1750.0,75.0,3.0,118,4,10777,Berlin,None,True,True,False,False,False
103566907,1369.0,117.0,4.0,108,4,13507,Berlin,Tegel (Reinickendorf),True,True,False,False,False
103568968,500.0,44.0,2.0,83,1,13629,Berlin,None,True,True,False,False,False
